O'Neal	79	79	3163	15.5	27.1	0	0	7	13.4	5.5	12.1	4.9	0.6	3.9	3.6	4.1
Rice	80	80	2530	8.6	19.9	1.7	4.7	7	8	1.1	5.5	3.6	1	0.2	2.3	3.6
Bryant	66	62	2524	11.3	24.1	0.9	2.9	6.7	8.2	2.2	6.3	6.6	2.2	1.3	3.7	4.5
Harper	80	78	2042	5.3	13.4	0.8	2.7	2.5	3.7	2.4	6.1	6.8	2.1	1	3.3	4.1
Green	82	82	1929	4.6	10.3	0	0.1	1.8	2.5	4.3	8.7	2.1	1.4	0.5	1.4	3.4
Fisher	78	22	1803	4.8	13.8	1.5	4.7	3	4.1	0.6	3.5	6.2	2.3	0.1	2.1	4.3
Horry	76	0	1685	4.9	11.1	0.9	2.9	2.7	3.4	4.1	7	3.6	2.6	2.4	2.2	5.8
Fox	82	1	1473	7.2	17.4	2.1	6.3	2.2	2.7	2.2	4.7	4.8	1.8	0.9	3	7.1
Shaw	74	2	1249	5.1	13.3	0.7	2.4	1.7	2.2	1.9	7	8.3	1.4	0.6	3.1	4.3
Knight	63	0	410	5.8	14.8	0	0	2.1	3.5	5.8	10.4	2.9	0.8	2.9	3.3	11
George	49	1	345	8.3	21.5	2.4	7	4	6.1	4.3	6.9	1.8	1.5	0.6	3.1	8
Salley	45	3	303	4.2	11.7	0	0	3.6	4.8	3.4	7.6	4.4	1.4	2.4	3.1	11.4
