Harris	65	65	2243	10.7	22.7	2.5	7	3.3	4.1	1.2	8.4	4.4	1.1	0.8	2.1	3.2
Simmons	54	54	1930	9.1	15.5	0.1	0.2	4.5	7.1	2.7	7.9	11.1	2.9	0.8	4.8	4.4
Horford	60	57	1848	7.6	17.2	2.3	6.9	1.4	1.9	2.4	8.4	6.4	1.4	1.4	1.7	3.4
Richardson	48	46	1474	8.1	18.9	2.3	7.1	3.3	4.2	1.2	4.1	4.9	1.5	1.1	3	4
Korkmaz	64	12	1398	7.7	17.9	4.4	11	1.8	2.5	0.6	4.6	2.4	1.3	0.5	1.8	3.1
Embiid	44	44	1329	12.1	25.6	2	5.9	11.4	14	4.5	14.5	5	1.4	2.1	4.9	5.5
Scott	63	10	1119	5.6	13.9	3.2	8.9	1.1	1.3	2.5	7.3	2.1	0.8	0.2	1	3.7
Thybulle	57	13	1110	4.2	10.2	2.2	6.2	1.1	1.8	1.5	2.2	3.1	3.5	1.8	2	5.3
Ennis	49	0	776	6.3	14.1	2.3	6.6	3	3.8	3	6.4	2.6	1.4	0.9	1.9	5.3
Milton	32	16	611	8.6	17.3	3.8	8.4	3.1	4.1	0.9	4.5	5.6	1.5	0.5	3	5.5
Neto	49	3	565	6.8	15	2.4	6.1	2.2	2.7	0.9	3.5	6.6	1.9	0.4	3.6	3.7
Burke	25	0	329	8.7	18.8	2.4	5.6	1.9	2.7	2.2	3	7.8	1	0.1	1.8	3.1
